"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1012","29/02/2020","Valencia","Betis",2,1,"H"
"1013","29/02/2020","Leganes","Alaves",1,1,"D"
"1014","29/02/2020","Granada","Celta",0,0,"D"
"1015","01/03/2020","Sevilla","Osasuna",3,2,"H"
"1016","01/03/2020","Ath Bilbao","Villarreal",1,0,"H"
"1017","01/03/2020","Espanol","Ath Madrid",1,1,"D"
"1018","01/03/2020","Mallorca","Getafe",0,1,"A"
"1019","01/03/2020","Real Madrid","Barcelona",2,0,"H"
"1020","06/03/2020","Alaves","Valencia",1,1,"D"
"1021","07/03/2020","Eibar","Mallorca",1,2,"A"
"1022","07/03/2020","Ath Madrid","Sevilla",2,2,"D"
"1023","07/03/2020","Barcelona","Sociedad",1,0,"H"
"1024","07/03/2020","Getafe","Celta",0,0,"D"
"1025","08/03/2020","Osasuna","Espanol",1,0,"H"
"1026","08/03/2020","Valladolid","Ath Bilbao",1,4,"A"
"1027","08/03/2020","Levante","Granada",1,1,"D"
"1028","08/03/2020","Villarreal","Leganes",1,2,"A"
"1029","08/03/2020","Betis","Real Madrid",2,1,"H"
"1030","10/03/2020","Eibar","Sociedad",1,2,"A"
"1031","11/06/2020","Sevilla","Betis",2,0,"H"
"1032","12/06/2020","Granada","Getafe",2,1,"H"
"1033","12/06/2020","Valencia","Levante",1,1,"D"
"1034","13/06/2020","Espanol","Alaves",2,0,"H"
"1035","13/06/2020","Celta","Villarreal",0,1,"A"
"1036","13/06/2020","Leganes","Valladolid",1,2,"A"
"1037","13/06/2020","Mallorca","Barcelona",0,4,"A"
"1038","14/06/2020","Ath Bilbao","Ath Madrid",1,1,"D"
"1039","14/06/2020","Real Madrid","Eibar",3,1,"H"
"1040","14/06/2020","Sociedad","Osasuna",1,1,"D"
"1041","15/06/2020","Levante","Sevilla",1,1,"D"
"1042","15/06/2020","Betis","Granada",2,2,"D"
"1043","16/06/2020","Getafe","Espanol",0,0,"D"
"1044","16/06/2020","Villarreal","Mallorca",1,0,"H"
"1045","16/06/2020","Barcelona","Leganes",2,0,"H"
"1046","17/06/2020","Eibar","Ath Bilbao",2,2,"D"
"1047","17/06/2020","Valladolid","Celta",0,0,"D"
"1048","17/06/2020","Osasuna","Ath Madrid",0,5,"A"
"1049","18/06/2020","Alaves","Sociedad",2,0,"H"
"1050","18/06/2020","Real Madrid","Valencia",3,0,"H"
"1051","19/06/2020","Granada","Villarreal",0,1,"A"
"1052","19/06/2020","Mallorca","Leganes",1,1,"D"
"1053","19/06/2020","Sevilla","Barcelona",0,0,"D"
"1054","20/06/2020","Espanol","Levante",1,3,"A"
"1055","20/06/2020","Ath Bilbao","Betis",1,0,"H"
"1056","20/06/2020","Getafe","Eibar",1,1,"D"
"1057","20/06/2020","Ath Madrid","Valladolid",1,0,"H"
"1058","21/06/2020","Celta","Alaves",6,0,"H"
"1059","21/06/2020","Valencia","Osasuna",2,0,"H"
"1060","21/06/2020","Sociedad","Real Madrid",1,2,"A"
"1061","22/06/2020","Villarreal","Sevilla",2,2,"D"
"1062","22/06/2020","Leganes","Granada",0,0,"D"
"1063","23/06/2020","Levante","Ath Madrid",0,1,"A"
"1064","23/06/2020","Valladolid","Getafe",1,1,"D"
"1065","23/06/2020","Barcelona","Ath Bilbao",1,0,"H"
"1066","24/06/2020","Alaves","Osasuna",0,1,"A"
"1067","24/06/2020","Sociedad","Celta",0,1,"A"
"1068","24/06/2020","Real Madrid","Mallorca",2,0,"H"
"1069","25/06/2020","Eibar","Valencia",1,0,"H"
"1070","25/06/2020","Betis","Espanol",1,0,"H"
"1071","26/06/2020","Sevilla","Valladolid",1,1,"D"
"1072","27/06/2020","Ath Bilbao","Mallorca",3,1,"H"
"1073","27/06/2020","Celta","Barcelona",2,2,"D"
"1074","27/06/2020","Osasuna","Leganes",2,1,"H"
"1075","27/06/2020","Ath Madrid","Alaves",2,1,"H"
"1076","28/06/2020","Levante","Betis",4,2,"H"
"1077","28/06/2020","Villarreal","Valencia",2,0,"H"
"1078","28/06/2020","Granada","Eibar",1,2,"A"
"1079","28/06/2020","Espanol","Real Madrid",0,1,"A"
"1080","29/06/2020","Getafe","Sociedad",2,1,"H"
"1081","30/06/2020","Mallorca","Celta",5,1,"H"
"1082","30/06/2020","Leganes","Sevilla",0,3,"A"
"1083","30/06/2020","Barcelona","Ath Madrid",2,2,"D"
"1084","01/07/2020","Alaves","Granada",0,2,"A"
"1085","01/07/2020","Valencia","Ath Bilbao",0,2,"A"
"1086","01/07/2020","Betis","Villarreal",0,2,"A"
"1087","01/07/2020","Valladolid","Levante",0,0,"D"
"1088","02/07/2020","Eibar","Osasuna",0,2,"A"
"1089","02/07/2020","Sociedad","Espanol",2,1,"H"
"1090","02/07/2020","Real Madrid","Getafe",1,0,"H"
"1091","03/07/2020","Ath Madrid","Mallorca",3,0,"H"
"1092","04/07/2020","Celta","Betis",1,1,"D"
"1093","04/07/2020","Valladolid","Alaves",1,0,"H"
"1094","04/07/2020","Granada","Valencia",2,2,"D"
"1095","05/07/2020","Ath Bilbao","Real Madrid",0,1,"A"
"1096","05/07/2020","Espanol","Leganes",0,1,"A"
"1097","05/07/2020","Osasuna","Getafe",0,0,"D"
"1098","05/07/2020","Villarreal","Barcelona",1,4,"A"
"1099","06/07/2020","Levante","Sociedad",1,1,"D"
"1100","06/07/2020","Sevilla","Eibar",1,0,"H"
"1101","07/07/2020","Valencia","Valladolid",2,1,"H"
"1102","07/07/2020","Celta","Ath Madrid",1,1,"D"
"1103","08/07/2020","Betis","Osasuna",3,0,"H"
"1104","08/07/2020","Getafe","Villarreal",1,3,"A"
"1105","08/07/2020","Barcelona","Espanol",1,0,"H"
"1106","09/07/2020","Eibar","Leganes",0,0,"D"
"1107","09/07/2020","Mallorca","Levante",2,0,"H"
"1108","09/07/2020","Ath Bilbao","Sevilla",1,2,"A"
"1109","10/07/2020","Sociedad","Granada",2,3,"A"
"1110","10/07/2020","Real Madrid","Alaves",2,0,"H"
"1111","11/07/2020","Osasuna","Celta",2,1,"H"
"1112","11/07/2020","Valladolid","Barcelona",0,1,"A"
"1113","11/07/2020","Ath Madrid","Betis",1,0,"H"
"1114","12/07/2020","Espanol","Eibar",0,2,"A"
"1115","12/07/2020","Levante","Ath Bilbao",1,2,"A"
"1116","12/07/2020","Leganes","Valencia",1,0,"H"
"1117","12/07/2020","Sevilla","Mallorca",2,0,"H"
"1118","13/07/2020","Alaves","Getafe",0,0,"D"
"1119","13/07/2020","Villarreal","Sociedad",1,2,"A"
"1120","13/07/2020","Granada","Real Madrid",1,2,"A"
"1121","16/07/2020","Eibar","Valladolid",3,1,"H"
"1122","16/07/2020","Ath Bilbao","Leganes",0,2,"A"
"1123","16/07/2020","Barcelona","Osasuna",1,2,"A"
"1124","16/07/2020","Betis","Alaves",1,2,"A"
"1125","16/07/2020","Celta","Levante",2,3,"A"
"1126","16/07/2020","Getafe","Ath Madrid",0,2,"A"
"1127","16/07/2020","Mallorca","Granada",1,2,"A"
"1128","16/07/2020","Real Madrid","Villarreal",2,1,"H"
"1129","16/07/2020","Sociedad","Sevilla",0,0,"D"
"1130","16/07/2020","Valencia","Espanol",1,0,"H"
"1131","19/07/2020","Alaves","Barcelona",0,5,"A"
"1132","19/07/2020","Valladolid","Betis",2,0,"H"
"1133","19/07/2020","Villarreal","Eibar",4,0,"H"
"1134","19/07/2020","Ath Madrid","Sociedad",1,1,"D"
"1135","19/07/2020","Espanol","Celta",0,0,"D"
"1136","19/07/2020","Granada","Ath Bilbao",4,0,"H"
"1137","19/07/2020","Leganes","Real Madrid",2,2,"D"
"1138","19/07/2020","Levante","Getafe",1,0,"H"
"1139","19/07/2020","Osasuna","Mallorca",2,2,"D"
"1140","19/07/2020","Sevilla","Valencia",1,0,"H"
