country,date,sector,mtco2
China,17/08/2019,Power,13.4848694
China,18/08/2019,Power,13.2029394
China,19/08/2019,Power,14.0196933
China,20/08/2019,Power,14.0740187
China,21/08/2019,Power,14.3962244
China,22/08/2019,Power,14.5039385
China,23/08/2019,Power,14.847687
China,24/08/2019,Power,14.5432775
China,25/08/2019,Power,13.5804071
China,26/08/2019,Power,14.1789229
China,27/08/2019,Power,14.6313221
China,28/08/2019,Power,14.0843218
China,29/08/2019,Power,13.4118111
China,30/08/2019,Power,13.443657
China,31/08/2019,Power,12.8348382
China,01/09/2019,Power,11.9778085
China,02/09/2019,Power,12.47704
China,03/09/2019,Power,12.6287764
China,04/09/2019,Power,12.5791342
China,05/09/2019,Power,12.9088331
China,06/09/2019,Power,13.2628846
China,07/09/2019,Power,13.0914787
China,08/09/2019,Power,13.2656946
China,09/09/2019,Power,13.6618952
China,10/09/2019,Power,13.5672941
China,11/09/2019,Power,13.1083383
China,12/09/2019,Power,13.261948
China,13/09/2019,Power,11.5572552
China,14/09/2019,Power,12.1810604
China,15/09/2019,Power,12.2887745
China,16/09/2019,Power,12.3843122
China,17/09/2019,Power,12.1857436
China,18/09/2019,Power,11.8710311
China,19/09/2019,Power,12.1033189
China,20/09/2019,Power,12.1698206
China,21/09/2019,Power,11.7239779
China,22/09/2019,Power,11.2481625
China,23/09/2019,Power,11.8438684
China,24/09/2019,Power,12.0471202
China,25/09/2019,Power,11.8888273
China,26/09/2019,Power,11.7689368
China,27/09/2019,Power,11.8710311
China,28/09/2019,Power,11.523536
China,29/09/2019,Power,11.4860702
China,30/09/2019,Power,10.5943848
China,01/10/2019,Power,9.44980531
China,02/10/2019,Power,9.88347166
China,03/10/2019,Power,10.5110234
China,04/10/2019,Power,11.1207789
China,05/10/2019,Power,11.4879435
China,06/10/2019,Power,11.5853545
China,07/10/2019,Power,11.439238
China,08/10/2019,Power,11.5994042
China,09/10/2019,Power,11.5984676
China,10/10/2019,Power,12.0433736
China,11/10/2019,Power,12.5510349
China,12/10/2019,Power,12.1220518
China,13/10/2019,Power,11.6134539
China,14/10/2019,Power,11.3352705
China,15/10/2019,Power,11.8626013
China,16/10/2019,Power,12.3833756
China,17/10/2019,Power,12.1791871
China,18/10/2019,Power,11.9412794
China,19/10/2019,Power,11.5066764
China,20/10/2019,Power,10.991522
China,21/10/2019,Power,11.7989095
China,22/10/2019,Power,11.9684421
China,23/10/2019,Power,11.984365
China,24/10/2019,Power,11.7661269
China,25/10/2019,Power,11.9113068
China,26/10/2019,Power,11.4486044
China,27/10/2019,Power,10.9044141
China,28/10/2019,Power,10.9671692
China,29/10/2019,Power,11.4139486
China,30/10/2019,Power,11.1535615
China,31/10/2019,Power,11.663096
China,01/11/2019,Power,11.6865121
China,02/11/2019,Power,12.0077812
China,03/11/2019,Power,11.3137277
China,04/11/2019,Power,11.5750514
China,05/11/2019,Power,11.8382485
China,06/11/2019,Power,12.2203994
China,07/11/2019,Power,12.2681683
China,08/11/2019,Power,12.4320811
China,09/11/2019,Power,12.0911425
China,10/11/2019,Power,11.6996251
China,11/11/2019,Power,12.2484988
China,12/11/2019,Power,12.3496564
China,13/11/2019,Power,12.1904268
China,14/11/2019,Power,12.5407318
China,15/11/2019,Power,13.1280079
China,16/11/2019,Power,12.6971514
China,17/11/2019,Power,12.4967095
China,18/11/2019,Power,12.9697149
China,19/11/2019,Power,13.3528025
China,20/11/2019,Power,14.0946249
China,21/11/2019,Power,13.7967719
China,22/11/2019,Power,13.3528025
China,23/11/2019,Power,13.430544
China,24/11/2019,Power,12.6212832
China,25/11/2019,Power,13.8351744
China,26/11/2019,Power,14.3540754
China,27/11/2019,Power,14.5460875
China,28/11/2019,Power,14.6004128
China,29/11/2019,Power,15.0940244
China,30/11/2019,Power,14.6182091
China,01/12/2019,Power,13.7330801
China,02/12/2019,Power,14.0843218
China,03/12/2019,Power,14.3241027
China,04/12/2019,Power,14.5704402
China,05/12/2019,Power,14.8860894
China,06/12/2019,Power,15.0050432
China,07/12/2019,Power,14.7109369
China,08/12/2019,Power,13.9822275
China,09/12/2019,Power,14.6275755
China,10/12/2019,Power,14.6669146
China,11/12/2019,Power,14.7306064
China,12/12/2019,Power,14.9554011
China,13/12/2019,Power,14.6772177
China,14/12/2019,Power,14.4608528
China,15/12/2019,Power,14.5254813
China,16/12/2019,Power,14.3962244
China,17/12/2019,Power,14.9769439
China,18/12/2019,Power,15.5763963
China,19/12/2019,Power,15.5998124
China,20/12/2019,Power,15.3553482
China,21/12/2019,Power,15.3731445
China,22/12/2019,Power,15.3263122
China,23/12/2019,Power,15.6016857
China,24/12/2019,Power,15.5014647
China,25/12/2019,Power,15.2963396
China,26/12/2019,Power,15.0565587
China,27/12/2019,Power,15.1539697
China,28/12/2019,Power,14.9507178
China,29/12/2019,Power,14.6191457
China,30/12/2019,Power,14.4486764
China,31/12/2019,Power,15.042509
China,01/01/2020,Power,14.6303855
China,02/01/2020,Power,15.6887936
China,03/01/2020,Power,15.6766173
China,04/01/2020,Power,15.4874151
China,05/01/2020,Power,14.9413514
China,06/01/2020,Power,15.1717659
China,07/01/2020,Power,14.9366682
China,08/01/2020,Power,15.1661461
China,09/01/2020,Power,15.7000334
China,10/01/2020,Power,15.2429509
China,11/01/2020,Power,15.0125364
China,12/01/2020,Power,14.4224504
China,13/01/2020,Power,14.8795329
China,14/01/2020,Power,14.6294488
China,15/01/2020,Power,14.9938035
China,16/01/2020,Power,14.9123154
China,17/01/2020,Power,14.2969401
China,18/01/2020,Power,13.3087802
China,19/01/2020,Power,12.6962148
China,20/01/2020,Power,12.3786923
China,21/01/2020,Power,11.8654112
China,22/01/2020,Power,11.6977519
China,23/01/2020,Power,11.2528458
China,24/01/2020,Power,11.115159
China,25/01/2020,Power,10.5953214
China,26/01/2020,Power,10.3780199
China,27/01/2020,Power,10.6074978
China,28/01/2020,Power,10.6524567
China,29/01/2020,Power,10.1981842
China,30/01/2020,Power,10.1447955
China,31/01/2020,Power,9.78044078
China,01/02/2020,Power,9.69239621
China,02/02/2020,Power,9.71674896
China,03/02/2020,Power,9.51818035
China,04/02/2020,Power,9.63432425
China,05/02/2020,Power,9.78887058
China,06/02/2020,Power,10.0923434
China,07/02/2020,Power,10.0071087
China,08/02/2020,Power,9.434819
China,09/02/2020,Power,8.95525707
China,10/02/2020,Power,9.26903294
China,11/02/2020,Power,9.1585089
China,12/02/2020,Power,9.06109788
China,13/02/2020,Power,8.86252927
China,14/02/2020,Power,9.06484446
China,15/02/2020,Power,8.9664968
China,16/02/2020,Power,9.12385306
China,17/02/2020,Power,9.40297309
China,18/02/2020,Power,9.56688586
China,19/02/2020,Power,9.96964295
China,20/02/2020,Power,9.5509629
China,21/02/2020,Power,9.49570088
China,22/02/2020,Power,9.48352451
China,23/02/2020,Power,9.10043695
China,24/02/2020,Power,9.74203836
China,25/02/2020,Power,10.0904701
China,26/02/2020,Power,10.3115182
China,27/02/2020,Power,10.2515729
China,28/02/2020,Power,10.65433
China,29/02/2020,Power,10.6927324
China,01/03/2020,Power,10.1672749
China,02/03/2020,Power,10.725515
China,03/03/2020,Power,10.7582975
China,04/03/2020,Power,10.8051297
China,05/03/2020,Power,10.3948795
China,06/03/2020,Power,11.0439741
China,07/03/2020,Power,10.4922905
China,08/03/2020,Power,10.2393965
China,09/03/2020,Power,11.0280511
China,10/03/2020,Power,10.8060664
China,11/03/2020,Power,10.7170852
China,12/03/2020,Power,10.6477735
China,13/03/2020,Power,10.9006675
China,14/03/2020,Power,10.7770304
China,15/03/2020,Power,10.6459002
China,16/03/2020,Power,11.1189056
China,17/03/2020,Power,10.9990151
China,18/03/2020,Power,10.4894806
China,19/03/2020,Power,10.8725681
China,20/03/2020,Power,11.0861231
China,21/03/2020,Power,11.1807242
